वह गा रही है, She is singing.
सेना हमारी तरफ बढ़ रही है, Army is heading towards us.
तुम मुझे कहाँ ले जा रहे हो ?, Where are you taking me to?
अब तुम्हे किसका इंतिज़ार है ?, Who are you expecting now?
पापा कल आ रहे हैं, Father is coming tomorrow.
मैं आज सिनेमा जा रहा हूँ, I am going to cinema tonight.
अब तुम्हे कैसा लग रहा है, How do you feel now?
अब मुझे अच्छा लग रहा है, I am feeling good.
यह लड़की तुमसे ज्यादा होशियार लग रही है, This girl appears to be smarter than you.
यह शर्ट मुझपर कैसी लग रही है, How does this shirt look on me?
यह साड़ी कैसी लग रही है ?, How does this sadi look?
क्या बात है ? बहुत खुश लग रहे हो, What is the matter? You look very happy.
यह किसी जानवर का लग रहा है, It seems to be of any animal.
यह शुद्ध घी की बनी लग रही है, It seems to be made of pure ghee.
अब तुम कैसा महसूस कर रहे हो ?, Now how do you feel now?
क्या तुम्हे प्यास लग रही है ?, Are you feeling thirsty?
मुझे खतरे की बू आ रही है, I smell danger around.
मुझे भूख लग रही है,I am feeling hungry.
मुझे प्यास लग रही है, I am feeling thirsty.
तुम भिकारी लग रहे हो, You seem like a beggar.
तुम जोकर लग रहे हो , You look like a joker.
तुम पागल लग रहे हो, You seem crazy.
आज मेरा घूमने का मन कर रहा है , I feel like wandering today.
मेरा चाय पीने का दिल कर रहा है , I feel like drinking tea.
मेरा सिगरेट पीने का दिल कर रहा है, I feel like smoking.
मेरा पढने का दिल नहीं कर रहा, I don’t feel like studying.
मेरा काम करने में मन नहीं लग रहा है, I don’t feel like working.
आजकल मेरा किसी और चीज़ में मन नहीं लगता, Now a days I don’t feel like doing anything else.
आज कल मेरा किसी काम में मन नहीं लगता, I don't feel like doing anything.
वह अभी अभी बाहर गया है, He has just gone out.
वह दिल्ली जा चुका है , He has gone to Delhi.
वह दिल्ली गया था , He went to Delhi.
मैं तुम्हे दो बार बोल चुका हूँ, I have told you twice.
मैं यह गाना सुन चुका हूँ, I have heard this song.
मैं अपना काम ख़त्म कर चुका हूँ, I have finished my work.
उसने सब बिस्कुट खा लिए हैं, He has eaten all the biscuit.
उसने अपनी ऊँगली काट ली है, He has cut his finger.
मैं अपना काम ख़त्म कर चुका हूँ, I have completed my work.
तुम्हारे पश्चाताप के आंसुओ ने तुम्हारे पाप धो दिए, Your tears of repentance have washed off your sins.
वह पिछले हफ्ते से बीमार है, He has been ill since last week.
हमने कुछ महीनो से राम को नहीं देखा, We have not seen Ram for several months.
मैं उससे बहुत दिनों से जानता हूँ, I have known him for a long time.
उस दिन से मैंने उसे नहीं देखा, I have not seen him since that day.
मैंने कल से कुछ नहीं खाया, I have eaten nothing since yesterday.
वह यहाँ 9 बजे से है, He has been here since 9 o'clock.
वह कई दिनो से सोया नहीं है, He has not slept for a few days.
क्या तुमने गीता पढ़ी है, Have you read Gita?
मैं दिल्ली घूमा था , I visited Delhi.
मैं दिल्ली घूम चूका हूँ, I have visited Delhi.
वह अभी आया हैं, He has just come.
क्या तुम उससे कभी मिले हो, Have you ever met him?
अब तक मैंने बहुत सी चीजे देख ली हैं, I have seen many things so far.
मैंने अभी तक नहीं किया, I have not done yet.
मैं उससे अभी तक नहीं मिला, I have not met him yet.
मैं उसे पहले ही बोल चूका हूँ, I have already spoken to him.
इतना बड़ा घर मैंने कभी नहीं देखा, Such a big house I have never seen.
इतनी सुन्दर लड़की मैंने कभी नहीं देखी, I have never seen such a beautiful girl.
इतना बड़ा हीरा मैंने कभी नहीं देखा, Such a big diamond I have never seen.
इतनी तेज बारिश मैंने कभी नहीं देखी, Such a heavy rain I have never seen.
इतना लम्बा आदमी मैंने कभी नहीं देखा, Such a tall main I have never seen.
इतनी मोटी औरत मैंने कभी नहीं देखी, Such a fat woman I have never seen.
